OrderID,Date,CustomerID,ProductID,StoreID,Qty,Discount%,Tax%,Total,Profit
O00001,2024-08-14,C0238,P006,S03,4,0,15,1196,560
O00002,2020-10-13,C0024,P001,S03,4,0,15,598,280
O00003,2020-07-18,C0121,P005,S02,4,15,15,430.1,220.2
O00004,2022-01-29,C0277,P004,S05,2,15,15,625.6,311.2
O00005,2023-09-03,C0051,P004,S05,4,10,15,1324.8,641.6
O00006,2020-03-08,C0190,P002,S04,4,5,15,874,428
O00007,2024-10-17,C0186,P001,S03,3,0,15,448.5,210
O00008,2022-03-26,C0142,P002,S01,4,0,15,920,440
O00009,2023-09-19,C0109,P006,S05,1,0,15,299,140
O00010,2024-05-30,C0171,P002,S02,2,0,15,460,220
O00011,2024-08-26,C0284,P002,S05,2,5,15,437,214
O00012,2021-11-03,C0076,P005,S01,3,5,15,360.52,175.05
O00013,2020-09-23,C0277,P003,S02,1,0,15,287.5,140
O00014,2020-09-26,C0008,P003,S02,3,0,15,862.5,420
O00015,2020-12-22,C0136,P001,S02,4,20,15,478.4,248.8
O00016,2020-08-20,C0033,P004,S04,3,20,15,883.2,452.4
O00017,2023-04-30,C0056,P004,S05,2,20,15,588.8,301.6
O00018,2020-03-29,C0267,P003,S04,1,0,15,287.5,140
O00019,2022-09-07,C0206,P004,S01,4,15,15,1251.2,622.4
O00020,2020-05-30,C0042,P003,S05,2,0,15,575,280
O00021,2020-09-15,C0141,P005,S05,3,15,15,322.57,165.15
O00022,2023-05-08,C0272,P003,S04,4,0,15,1150,560
O00023,2024-06-12,C0059,P006,S05,2,15,15,508.3,256.6
O00024,2022-07-13,C0117,P004,S03,4,15,15,1251.2,622.4
O00025,2022-05-01,C0049,P003,S04,3,10,15,776.25,397.5
O00026,2022-02-05,C0079,P006,S04,1,0,15,299,140
O00027,2024-08-30,C0044,P001,S04,1,10,15,134.55,66.1
O00028,2024-07-20,C0067,P005,S01,3,0,15,379.5,180
O00029,2022-04-21,C0182,P006,S04,1,10,15,269.1,132.2
O00030,2023-05-14,C0160,P003,S01,2,5,15,546.25,272.5
O00031,2023-09-06,C0247,P002,S01,3,20,15,552,294
O00032,2022-01-22,C0059,P003,S05,2,15,15,488.75,257.5
O00033,2024-09-26,C0288,P005,S05,1,20,15,101.2,53.4
O00034,2025-03-17,C0137,P001,S02,3,10,15,403.65,198.3
O00035,2025-03-02,C0174,P003,S01,2,5,15,546.25,272.5
